id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
648466,API,Organic Search,No,No,0,1.0,225,1.0,Converted to Lead,,,No,No,No,No,No,No,11.0,15.0,No
615461,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
586145,Landing Page Submission,Direct Traffic,No,No,0,4.0,1224,1.33,Page Visited on Website,Finance Management,,No,No,No,No,No,No,16.0,18.0,Yes
654128,API,Google,No,No,0,3.0,301,3.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
651241,Landing Page Submission,Google,No,No,0,5.0,75,2.5,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,16.0,Yes
598930,Landing Page Submission,Direct Traffic,No,No,0,2.0,190,2.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
582094,Lead Add Form,Reference,No,No,1,1.0,78,1.0,Email Opened,Finance Management,Housewife,No,No,No,No,No,No,15.0,20.0,Yes
617307,Landing Page Submission,Google,No,No,0,6.0,128,6.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,,,No
651599,API,Referral Sites,No,No,0,7.0,166,7.0,Email Opened,,,No,No,No,No,No,No,15.0,13.0,No
593206,Landing Page Submission,Organic Search,No,No,1,3.0,181,3.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
644717,Landing Page Submission,Organic Search,No,No,0,4.0,1075,4.0,Email Opened,"Banking, Investment And Insurance",,No,No,No,No,No,No,15.0,16.0,Yes
658029,Landing Page Submission,Direct Traffic,No,No,0,3.0,66,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
637677,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
582338,Landing Page Submission,Direct Traffic,No,No,0,5.0,87,5.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
598759,Landing Page Submission,Google,No,No,1,1.0,822,1.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,,,No
641228,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
636766,Landing Page Submission,Google,No,No,1,3.0,1545,3.0,SMS Sent,E-Business,Unemployed,No,No,No,No,No,No,14.0,18.0,No
623915,Landing Page Submission,Direct Traffic,No,No,1,7.0,1003,2.33,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
593816,Landing Page Submission,Organic Search,No,No,0,6.0,360,6.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,,,No
631406,Lead Add Form,Reference,No,No,1,3.0,1248,1.0,Email Opened,Human Resource Management,Student,No,No,No,No,No,No,14.0,20.0,Yes
591747,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
630808,Landing Page Submission,Google,No,No,0,3.0,49,3.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,,,No
642967,Landing Page Submission,Organic Search,No,No,0,3.0,155,3.0,Page Visited on Website,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
641916,API,Google,No,No,0,10.0,85,5.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
633341,Landing Page Submission,Google,No,No,0,2.0,1007,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
600379,API,Organic Search,No,No,0,3.0,1405,1.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
635407,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,14.0,No
582600,Landing Page Submission,Organic Search,Yes,No,0,7.0,176,7.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
624386,Landing Page Submission,Direct Traffic,No,No,0,2.0,1108,2.0,SMS Sent,"Banking, Investment And Insurance",,No,No,No,No,No,No,,,Yes
645735,Landing Page Submission,Organic Search,No,No,1,11.0,608,11.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
583269,Landing Page Submission,Organic Search,No,No,0,3.0,389,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,19.0,Yes
653874,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
656682,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
620751,Landing Page Submission,Direct Traffic,No,No,0,8.0,362,2.67,Email Opened,Marketing Management,Other,No,No,No,No,No,No,,,No
590690,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
622584,Landing Page Submission,Direct Traffic,No,No,0,1.0,36,1.0,Converted to Lead,International Business,Unemployed,No,No,No,No,No,No,,,Yes
643277,Lead Import,Facebook,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
582084,Landing Page Submission,Direct Traffic,Yes,No,0,9.0,17,9.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,12.0,20.0,Yes
621327,Landing Page Submission,Google,No,No,1,4.0,1337,4.0,Had a Phone Conversation,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,No
603796,API,Organic Search,No,No,0,11.0,714,11.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
593864,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,16.0,15.0,No
653924,API,Chat,No,No,1,3.0,978,3.0,Page Visited on Website,,,No,No,No,No,No,No,16.0,15.0,No
585392,Landing Page Submission,Direct Traffic,No,No,1,2.0,1486,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
599970,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
604849,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
605419,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
624314,Landing Page Submission,Google,No,No,0,4.0,178,4.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
624430,API,Google,No,No,1,2.0,1395,1.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
